episode,episode_steps,highest_score,max_tile
1,570,432.0,32.0
2,686,656.0,64.0
3,1085,1260.0,128.0
4,776,860.0,128.0
5,682,1096.0,64.0
6,955,1480.0,128.0
7,320,544.0,64.0
8,609,1272.0,64.0
9,431,1348.0,128.0
10,436,672.0,64.0
11,478,2152.0,256.0
12,232,568.0,64.0
13,235,1616.0,128.0
14,303,1380.0,128.0
15,381,1004.0,64.0
16,163,876.0,64.0
17,369,1524.0,128.0
18,290,1324.0,128.0
19,188,864.0,64.0
20,364,1556.0,128.0
21,229,1044.0,128.0
22,462,2480.0,256.0
23,188,840.0,64.0
24,356,2300.0,256.0
25,358,2620.0,256.0
26,312,1412.0,128.0
27,145,1240.0,128.0
28,389,2864.0,256.0
29,376,2932.0,256.0
30,206,1620.0,128.0
31,276,2084.0,128.0
32,195,1388.0,128.0
33,233,848.0,64.0
34,313,2976.0,256.0
35,357,2980.0,256.0
36,265,2404.0,256.0
37,190,1672.0,128.0
38,192,2376.0,256.0
39,310,2576.0,256.0
40,225,1484.0,128.0
41,273,2316.0,256.0
42,289,984.0,64.0
43,229,1536.0,128.0
44,69,524.0,64.0
45,172,1132.0,128.0
46,217,1272.0,128.0
47,405,2896.0,256.0
48,179,1352.0,128.0
49,293,1940.0,128.0
50,362,2304.0,256.0
51,317,2436.0,256.0
52,283,2896.0,256.0
53,143,1368.0,128.0
54,170,1404.0,128.0
55,147,1416.0,128.0
56,329,3144.0,256.0
57,338,2976.0,256.0
58,142,1288.0,128.0
59,126,1268.0,128.0
60,240,2776.0,256.0
61,233,2404.0,256.0
62,232,1348.0,128.0
63,265,2996.0,256.0
64,246,1576.0,128.0
65,383,2852.0,256.0
66,261,1388.0,128.0
67,182,1304.0,128.0
68,480,3224.0,256.0
69,477,4628.0,512.0
70,418,3140.0,256.0
71,437,4972.0,512.0
72,498,5220.0,512.0
73,224,2876.0,256.0
74,100,680.0,64.0
75,383,3328.0,256.0
76,601,5088.0,512.0
77,319,2988.0,256.0
78,315,2884.0,256.0
79,293,2624.0,256.0
80,311,3136.0,256.0
81,245,1484.0,128.0
82,198,2444.0,256.0
83,343,2852.0,256.0
84,283,2996.0,256.0
85,269,2692.0,256.0
86,346,2924.0,256.0
87,235,2320.0,256.0
88,187,2352.0,256.0
89,426,4832.0,512.0
90,148,1360.0,128.0
91,133,1304.0,128.0
92,206,1580.0,128.0
93,177,1548.0,128.0
94,200,2268.0,256.0
95,389,6036.0,512.0
96,286,3172.0,256.0
97,371,3136.0,256.0
98,160,1408.0,128.0
99,291,2856.0,256.0
100,433,3712.0,256.0
101,177,1248.0,128.0
102,250,2988.0,256.0
103,320,3512.0,256.0
104,266,2216.0,256.0
105,384,2352.0,256.0
106,319,3028.0,256.0
107,420,3296.0,256.0
108,368,2600.0,256.0
109,301,2200.0,128.0
110,316,2956.0,256.0
111,250,2648.0,256.0
112,268,3244.0,256.0
113,575,7080.0,512.0
114,266,3408.0,256.0
115,327,3496.0,256.0
116,364,4924.0,512.0
117,195,1456.0,128.0
118,196,1252.0,128.0
119,195,2284.0,256.0
120,175,1536.0,128.0
121,281,3120.0,256.0
122,124,1324.0,128.0
123,128,1260.0,128.0
124,262,2920.0,256.0
125,211,1892.0,128.0
126,318,3128.0,256.0
127,193,1500.0,128.0
128,202,2204.0,256.0
129,217,1256.0,128.0
130,307,2392.0,256.0
131,187,2356.0,256.0
132,202,2228.0,256.0
133,207,1508.0,128.0
134,252,1344.0,128.0
135,314,3968.0,256.0
136,181,1460.0,128.0
137,286,2000.0,128.0
138,160,1592.0,128.0
139,141,1460.0,128.0
140,113,1204.0,128.0
141,247,2300.0,256.0
142,129,1248.0,128.0
